label	x	y
AF1	-0.1371	0.6754
AF10	0.8580	1.1810
AF10h	0.7078	0.9743
AF1h	-0.0683	0.6700
AF2	0.1371	0.6754
AF2h	0.0683	0.6700
AF3	-0.2781	0.6983
AF3h	-0.2069	0.6848
AF4	0.2781	0.6983
AF4h	0.2069	0.6848
AF5	-0.4269	0.7404
AF5h	-0.3513	0.7166
AF6	0.4269	0.7404
AF6h	0.3513	0.7166
AF7	-0.5878	0.8090
AF7h	-0.5056	0.7708
AF8	0.5878	0.8090
AF8h	0.5056	0.7708
AF9	-0.8580	1.1810
AF9h	-0.7078	0.9743
AFF1	-0.1588	0.5428
AFF10	1.0322	1.0322
AFF10h	0.8515	0.8515
AFF1h	-0.0790	0.5366
AFF2	0.1588	0.5428
AFF2h	0.0790	0.5366
AFF3	-0.3244	0.5692
AFF3h	-0.2403	0.5535
AFF4	0.3244	0.5692
AFF4h	0.2403	0.5535
AFF5	-0.5042	0.6197
AFF5h	-0.4120	0.5908
AFF6	0.5042	0.6197
AFF6h	0.4120	0.5908
AFF7	-0.7071	0.7071
AFF7h	-0.6021	0.6576
AFF8	0.7071	0.7071
AFF8h	0.6021	0.6576
AFF9	-1.0322	1.0322
AFF9h	-0.8515	0.8515
AFFz	0.0000	0.5345
AFp1	-0.1089	0.8246
AFp10	0.6626	1.3007
AFp10h	0.5467	1.0730
AFp1h	-0.0543	0.8217
AFp2	0.1089	0.8246
AFp2h	0.0543	0.8217
AFp3	-0.2195	0.8369
AFp3h	-0.1639	0.8296
AFp4	0.2195	0.8369
AFp4h	0.1639	0.8296
AFp5	-0.3339	0.8583
AFp5h	-0.2761	0.8463
AFp6	0.3339	0.8583
AFp6h	0.2761	0.8463
AFp7	-0.4540	0.8910
AFp7h	-0.3931	0.8731
AFp8	0.4540	0.8910
AFp8h	0.3931	0.8731
AFp9	-0.6626	1.3007
AFp9h	-0.5467	1.0730
AFpz	0.0000	0.8207
AFz	0.0000	0.6682
C1	-0.1965	0.0000
C1h	-0.0973	0.0000
C2	0.1965	0.0000
C2h	0.0973	0.0000
C3	-0.4088	0.0000
C3h	-0.2996	0.0000
C4	0.4088	0.0000
C4h	0.2996	0.0000
C5	-0.6582	0.0000
C5h	-0.5271	0.0000
C6	0.6582	0.0000
C6h	0.5271	0.0000
CCP1	-0.1976	-0.1008
CCP1h	-0.0978	-0.0991
CCP2	0.1976	-0.1008
CCP2h	0.0978	-0.0991
CCP3	-0.4110	-0.1085
CCP3h	-0.3012	-0.1039
CCP4	0.4110	-0.1085
CCP4h	0.3012	-0.1039
CCP5	-0.6620	-0.1244
CCP5h	-0.5300	-0.1151
CCP6	0.6620	-0.1244
CCP6h	0.5300	-0.1151
CCPz	0.0000	-0.0985
CP1	-0.1933	-0.2034
CP1h	-0.0958	-0.2000
CP2	0.1933	-0.2034
CP2h	0.0958	-0.2000
CP3	-0.4013	-0.2183
CP3h	-0.2944	-0.2094
CP4	0.4013	-0.2183
CP4h	0.2944	-0.2094
CP5	-0.6433	-0.2489
