label	x	y
AF1	-0.1025	0.5139
AF10	0.5878	0.8090
AF10h	0.5021	0.6910
AF1h	-0.0512	0.5105
AF2	0.1025	0.5139
AF2h	0.0512	0.5105
AF3	-0.2067	0.5274
AF3h	-0.1543	0.5194
AF4	0.2067	0.5274
AF4h	0.1543	0.5194
AF5	-0.3143	0.5513
AF5h	-0.2600	0.5379
AF6	0.3143	0.5513
AF6h	0.2600	0.5379
AF7	-0.4270	0.5879
AF7h	-0.3699	0.5678
AF8	0.4270	0.5879
AF8h	0.3699	0.5678
AF9	-0.5878	0.8090
AF9h	-0.5021	0.6910
AFF1	-0.1207	0.4195
AFF10	0.7071	0.7071
AFF10h	0.6039	0.6039
AFF1h	-0.0602	0.4155
AFF2	0.1207	0.4195
AFF2h	0.0602	0.4155
AFF3	-0.2444	0.4361
AFF3h	-0.1820	0.4263
AFF4	0.2444	0.4361
AFF4h	0.1820	0.4263
AFF5	-0.3743	0.4661
AFF5h	-0.3084	0.4493
AFF6	0.3743	0.4661
AFF6h	0.3084	0.4493
AFF7	-0.5138	0.5138
AFF7h	-0.4426	0.4874
AFF8	0.5138	0.5138
AFF8h	0.4426	0.4874
AFF9	-0.7071	0.7071
AFF9h	-0.6039	0.6039
AFFz	0.0000	0.4142
AFp1	-0.0803	0.6148
AFp10	0.4540	0.8910
AFp10h	0.3878	0.7610
AFp1h	-0.0401	0.6133
AFp2	0.0803	0.6148
AFp2h	0.0401	0.6133
AFp3	-0.1615	0.6210
AFp3h	-0.1207	0.6174
AFp4	0.1615	0.6210
AFp4h	0.1207	0.6174
AFp5	-0.2443	0.6317
AFp5h	-0.2027	0.6258
AFp6	0.2443	0.6317
AFp6h	0.2027	0.6258
AFp7	-0.3299	0.6474
AFp7h	-0.2867	0.6388
AFp8	0.3299	0.6474
AFp8h	0.2867	0.6388
AFp9	-0.4540	0.8910
AFp9h	-0.3878	0.7610
AFpz	0.0000	0.6128
AFz	0.0000	0.5095
C1	-0.1584	0.0000
C1h	-0.0787	0.0000
C2	0.1584	0.0000
C2h	0.0787	0.0000
