label	x	y
C3	0.0	0.0000
C4	0.0	0.0000
Cz	0.0	0.0000
F3	0.346682606096832	0.5800
F4	0.346682606096832	0.5800
F7	0.42704354469060357	0.5590
F8	0.42704354469060357	0.5590
Fp1	0.6909854851031322	0.9045
Fp2	0.6909854851031322	0.9045
Fpz	0.726585179526356	0.9511
Fz	0.324930901050304	0.5878
O1	-0.6909854851031322	-0.9045
O2	-0.6909854851031322	-0.9045
Oz	-0.726585179526356	-0.9511
P3	-0.346682606096832	-0.5800
P4	-0.346682606096832	-0.5800
P7	-0.42704354469060357	-0.5590
P8	-0.42704354469060357	-0.5590
Pz	-0.324930901050304	-0.5878
T7	0.0	0.0000
T8	0.0	0.0000
